function,verification_mode,status,note
jme_body_id_from_name,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_body_naif_id,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_body_name,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_calc,external_web_numeric,web-source numeric verified,Checked against authoritative web/reference values in the current test suite.
jme_calc_pctr,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_calc_ut,external_web_numeric,web-source numeric verified,Checked against authoritative web/reference values in the current test suite.
jme_calendar_is_leap_year,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_centiseconds_difference,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_centiseconds_difference_signed,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_centiseconds_normalize,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_centiseconds_round_second,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_centiseconds_to_degree_string,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_centiseconds_to_lonlat_string,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_centiseconds_to_time_string,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_close,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_copy_body_name,api_or_behavior_contract,contract verified only,"Directly tested, but not yet broadly externally value-certified against an independent web oracle."
jme_date_is_valid,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_day_of_week,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_day_of_year,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_days_in_month,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_decimal_hour,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
jme_degree_midpoint,independent_formula_or_identity,formula/identity verified,"Checked by closed-form formula, round-trip identity, or deterministic mathematical invariant."
